Store_ID,Latitude,Longitude,Monthly_Revenue
S001,29.4041,83.768,355472
S002,11.0839,85.04,102281
S003,11.3512,92.5254,177757
S004,23.0353,91.7838,272436
S005,14.9276,85.1163,167376
S006,9.2614,94.1557,151784
S007,18.4064,77.0371,349029
S008,23.2067,76.5103,420334
S009,15.8367,89.2554,268765
S010,25.8303,90.5334,380372
S011,9.2106,93.8301,91409
S012,33.7868,73.0278,380651
S013,8.1025,81.8222,105182
S014,20.6689,82.9687,406062
S015,26.0692,94.806,288025
S016,34.2697,86.8471,334095
S017,19.4394,74.2788,363625
S018,27.8734,70.3339,433082
S019,31.3126,68.515,399476
S020,10.2245,91.6159,161639
S021,25.2713,72.58,415428
S022,21.8219,68.624,367621
S023,21.8501,96.6097,189688
S024,34.6386,96.0708,169289
S025,33.8202,96.1297,194445
S026,28.005,69.2997,320824
S027,13.7752,70.5044,255547
S028,13.8674,87.0008,227122
S029,16.1492,96.6956,194860
S030,20.0867,94.7289,287152
