id,value_a,value_b,score,category
R0001,-35.09,236.32,29.71,D
R0002,33.72,358.99,98.82,B
R0003,194.42,382.31,64.58,C
R0004,-9.65,419.1,-1.62,A
R0005,81.27,259.77,11.2,A
R0006,123.96,455.16,96.7,A
R0007,173.99,100.5,,C
R0008,16.53,311.83,61.76,A
R0009,-43.33,354.42,13.54,C
R0010,85.86,301.43,46.18,B
R0011,114.44,159.96,9.22,A
R0012,100.58,263.0,17.65,B
R0013,124.56,177.35,68.93,D
R0014,60.08,119.34,43.03,C
R0015,131.69,52.47,-8.73,D
R0016,159.95,377.02,20.29,C
R0017,-17.11,425.82,2.55,C
R0018,129.8,321.57,88.29,B
R0019,106.73,394.41,90.51,A
R0020,86.93,384.71,86.63,C
R0021,-17.39,266.02,108.37,C
R0022,0.05,477.78,51.46,C
R0023,142.2,,87.42,A
R0024,71.95,369.22,86.42,D
R0025,-26.87,256.62,49.49,D
R0026,151.52,297.48,80.37,B
R0027,,258.08,-7.42,A
R0028,97.21,334.79,34.79,C
R0029,179.96,115.07,60.53,B
R0030,-43.16,80.58,47.19,C
R0031,-5.72,105.72,6.89,B
R0032,-18.3,188.7,8.94,B
R0033,141.33,152.18,104.77,B
R0034,93.85,144.08,14.71,C
R0035,-49.21,88.14,65.83,A
R0036,140.79,461.26,0.32,B
R0037,164.31,135.83,56.4,D
R0038,,451.62,-3.69,A
R0039,174.66,269.21,18.89,C
R0040,186.82,473.14,-5.24,B
R0041,199.6,300.07,,A
R0042,196.66,85.16,80.08,A
R0043,185.39,251.38,17.3,C
R0044,47.04,441.82,103.31,D
R0045,97.16,152.9,88.23,B
R0046,-38.72,,1.06,B
R0047,-35.31,307.07,31.93,A
R0048,103.29,47.34,1.2,C
R0049,99.64,450.49,26.16,A
R0050,189.38,387.73,24.96,B
