Row,Timestamp,Latency (ms),CPU Util (%),RAM Util (%),Service,Notes
1,2026-02-10 08:00:00,56,33,56,api-gateway,"scrape interval: 60s"
2,2026-02-10 08:01:00,53,41,20,inventory-svc,"prometheus export"
3,2026-02-10 08:02:00,52,28,47,report-svc,"synthetic probe"
4,2026-02-10 08:03:00,51,28,30,inventory-svc,"agent-collected"
5,2026-02-10 08:04:00,96,64,67,report-svc,"prometheus export"
6,2026-02-10 08:05:00,57,55,45,payment-svc,"agent-collected"
7,2026-02-10 08:06:00,96,87,63,report-svc,"synthetic probe"
8,2026-02-10 08:07:00,63,27,39,report-svc,"prometheus export"
9,2026-02-10 08:08:00,68,53,50,payment-svc,"health-check ok"
10,2026-02-10 08:09:00,64,54,42,auth-svc,"prometheus export"
11,2026-02-10 08:10:00,49,45,17,report-svc,"manual poll"
12,2026-02-10 08:11:00,68,49,63,api-gateway,"prometheus export"
13,2026-02-10 08:12:00,65,26,27,payment-svc,"synthetic probe"
14,2026-02-10 08:13:00,66,23,40,report-svc,"from cloudwatch"
15,2026-02-10 08:14:00,46,29,37,api-gateway,"scrape interval: 60s"
16,2026-02-10 08:15:00,56,63,41,report-svc,"agent-collected"
17,2026-02-10 08:16:00,46,48,47,auth-svc,"agent-collected"
18,2026-02-10 08:17:00,46,29,34,api-gateway,"manual poll"
19,2026-02-10 08:18:00,47,55,19,report-svc,"synthetic probe"
20,2026-02-10 08:19:00,65,40,62,api-gateway,"from cloudwatch"
21,2026-02-10 08:20:00,96,64,40,report-svc,"agent-collected"
22,2026-02-10 08:21:00,45,56,30,report-svc,"from cloudwatch"
23,2026-02-10 08:22:00,54,29,52,report-svc,"scrape interval: 60s"
24,2026-02-10 08:23:00,50,22,30,inventory-svc,"manual poll"
25,2026-02-10 08:24:00,48,41,32,report-svc,"from cloudwatch"
26,2026-02-10 08:25:00,57,32,38,report-svc,"agent-collected"
27,2026-02-10 08:26:00,67,25,59,api-gateway,"agent-collected"
28,2026-02-10 08:27:00,53,40,54,report-svc,"synthetic probe"
29,2026-02-10 08:28:00,65,21,40,api-gateway,"manual poll"
30,2026-02-10 08:29:00,60,51,41,payment-svc,"agent-collected"
31,2026-02-10 08:30:00,45,64,54,api-gateway,"scrape interval: 60s"
32,2026-02-10 08:31:00,45,64,60,api-gateway,"synthetic probe"
33,2026-02-10 08:32:00,67,52,40,inventory-svc,"from cloudwatch"
34,2026-02-10 08:33:00,67,40,59,inventory-svc,"prometheus export"
35,2026-02-10 08:34:00,68,24,32,api-gateway,"from cloudwatch"
36,2026-02-10 08:35:00,45,56,21,inventory-svc,"scrape interval: 60s"
37,2026-02-10 08:36:00,68,40,45,api-gateway,"synthetic probe"
38,2026-02-10 08:37:00,91,69,95,inventory-svc,"scrape interval: 60s"
39,2026-02-10 08:38:00,49,57,43,auth-svc,"health-check ok"
40,2026-02-10 08:39:00,51,44,37,inventory-svc,"scrape interval: 60s"
41,2026-02-10 08:40:00,53,40,34,report-svc,"from cloudwatch"
42,2026-02-10 08:41:00,64,58,58,inventory-svc,"agent-collected"
43,2026-02-10 08:42:00,51,57,29,api-gateway,"health-check ok"
44,2026-02-10 08:43:00,51,54,34,report-svc,"agent-collected"
45,2026-02-10 08:44:00,64,24,28,report-svc,"scrape interval: 60s"
46,2026-02-10 08:45:00,57,21,47,inventory-svc,"prometheus export"
47,2026-02-10 08:46:00,46,35,45,inventory-svc,"scrape interval: 60s"
48,2026-02-10 08:47:00,54,55,18,inventory-svc,"manual poll"
49,2026-02-10 08:48:00,68,42,36,payment-svc,"agent-collected"
50,2026-02-10 08:49:00,47,48,56,api-gateway,"agent-collected"
51,2026-02-10 08:50:00,62,36,46,payment-svc,"manual poll"
52,2026-02-10 08:51:00,45,40,64,payment-svc,"agent-collected"
53,2026-02-10 08:52:00,51,26,37,inventory-svc,"scrape interval: 60s"
54,2026-02-10 08:53:00,93,73,45,api-gateway,"agent-collected"
55,2026-02-10 08:54:00,57,39,34,auth-svc,"synthetic probe"
56,2026-02-10 08:55:00,51,28,32,payment-svc,"prometheus export"
57,2026-02-10 08:56:00,58,59,53,auth-svc,"scrape interval: 60s"
58,2026-02-10 08:57:00,49,30,25,inventory-svc,"agent-collected"
59,2026-02-10 08:58:00,54,19,19,report-svc,"from cloudwatch"
60,2026-02-10 08:59:00,53,45,36,report-svc,"from cloudwatch"
